Speaker,Transcript
Expert,"navigated the city without using a single word of English grammar. You used the engine."
Host," That feels powerful. I feel like I just leveled up in a video game."
Expert," You did. But now comes the hard part. The driver wants money, and then you need to go buy some vegetables. We are now entering section three, scenario two, the shopkeeper."
Host," This is where we move from navigation to pure transaction, and the source mentions a huge philosophical shift here, the experiencer dative."
Expert," This is the hurdle where most English speakers trip and fall. It's a fundamental rewiring of how you see the world."
Host," Explain."
Expert," In English, we are incredibly egocentric. I want coffee, I need water, I am the hero of the sentence, I am the one doing the wanting. The action originates with me."
Host," Right. Subject verb object. I learned that in third grade."
Expert," Kannada sees the world completely differently. Needs, feelings, desires, knowledge, these are not things you do, these are things that happen to you. You are the experiencer, not the agent."
Host," So I don't say I want coffee."
Expert," You say, to me, coffee is needed."
Host," To me, that's the dative case."
Expert," Yes, and to me in Kannada is Nanage, pronounced nuh-nuh-GEY."
Host," Nuh-nuh-GEY."
Expert," And the word for needed or wanted is Bēku, pronounced BAY-koo."
Host," BAY-koo. So the formula is always Nanage plus the thing plus Bēku."
Expert," Always. Nanage coffee Bēku. Nanage neeru Bēku. Nanage change Bēku."
Host," But if I don't want it, the shopkeeper is trying to sell me these really expensive mangoes."
Expert," Then you need the shield. The direct opposite of Bēku is Bēda, pronounced BAY-dah."
Host," BAY-dah."
Expert," It is polite, but it is final. If a hawker is bothering you, you don't need to get angry or yell, you just hold up your hand and say firmly but politely, Saar, Bēda."
Host," Or the full sentence, Nanage Bēda. To me, it is not needed."
Expert," Exactly."
Host," Nanage Bēku, Nanage Bēda. That's the binary code of all commerce right there. But we can't shop without knowing the numbers. We have to tackle the number drills from our notes."
Expert," The numbers are absolutely non-negotiable. If you don't know the numbers, you will overpay, period. It's a guarantee."
Host," Okay, let's drill the base one through 10. The source says, if you know these 10, you can basically unlock all the others. I'm going to say the number, you give me the Kannada and I'll try to repeat the pronunciation correctly."
Expert," Let's do it. Fire away."
Host," One."
Expert," Ondu, pronounced ON-doo."
Host," ON-doo. Two."
Expert," Eradu, pronounced AY-ruh-doo."
Host," AY-ruh-doo."
Expert," Three. Mooru, pronounced MOO-roo."
Host," MOO-roo. Four."
Expert," Naalku, pronounced NAAL-koo. Notice that long aa vowel."
Host," NAAL-koo."
Expert," Five. Aidhu, pronounced EYE-doo. Okay, halfway. Six."
Host," Aaru, pronounced AA-roo."
Expert," AA-roo. Seven."
Host," Yelu, pronounced YAY-loo."
Expert," YAY-loo. Eight."
Host," Entu, pronounced EN-too."
Expert," EN-too. Nine."
Host," Ombathu, pronounced OM-buh-too."
Expert," OM-buh-too. And 10."
Host," Hattu, pronounced HUT-too. Remember our P-to-H shift? Pattu becomes Hattu."
Expert," HUT-too. Okay. Ondu, Eradu, Mooru, Naalku, Aidhu, Aaru, Yelu, Entu, Ombathu, Hattu. I think I have it."
Host," That's the foundation."
Expert," The prices are rarely a neat 8 rupees. They're 12, 18, 25 rupees. How do the teens work? This is where that sandhi concept, the gluing, comes back in a big way. Let's take 11. It's just 10 plus one."
Host," Right."
Expert," So, Hattu plus Ondu."
Host," Right."
Expert," But you don't say Hattu Ondu. It's clunky. The sounds get smoothed and smashed together, becomes Hannondu."
Host," Hannondu. Okay, it's a contraction."
Expert," Exactly. 12 is Hattu plus Eradu. It becomes Hanneradu."
Host," Hanneradu."
Expert," Hanneradu. You hear that prefix pattern, Hann-."
Host," Yeah. And then I see in the notes that for 13 onwards, the prefix changes slightly to Hadi-."
Expert," Yes. So, 13 is Hadi plus Mooru. Hadimooru."
Host," Hadi plus... 14 would be"
Expert," Yeah."
Host," Hadi plus Naalku. Hadinaalku."
Expert," 15. Hadi plus Aidhu. Hadinaidhu."
Host," Yeah."
Expert," And so on. So, if you hear that Hadi- prefix, you know you're in the teens."
Host," Okay, this is logical. I can follow this. What about the big round numbers? 50, 100."
Expert," 50 is Aivathu, pronounced EYE-vuh-too."
Host," EYE-vuh-too."
Expert," And 100 is Nooru, pronounced NOO-roo."
Host," NOO-roo. Okay, so let's do a little math problem. I'm at the shop. I buy a coconut for 30 rupees. That's Muvathu, and some flour for 20, Ippathu. The total is 50."
Expert," Right."
Host," The shopkeeper says, Aivathu."
Expert," Correct. But then maybe he says, wait, with the plastic bag, it is 55."
Host," Oh, classic."
Expert," So, he takes 50, Aivathu, and adds five, Aidhu. They get glued together."
Host," Yeah."
Expert," Aivathu-Aidhu."
Host," Aivathu-Aidhu. It really is like Legos. You just stick the five right onto the end of the 50."
Expert," That's exactly what it is."
Host," But I don't want to pay 55. I want to bargain."
Expert," We need a bargaining script."
Host," Okay, let's role-play this. I'm the shopkeeper. You want to buy this nice scarf. I tell you the price is Nooru rupees."
Expert," 100. 100. Okay, first I need to know how to ask how much, which is Eshtu, pronounced ESH-too."
Host," Eshtu, I say. Nooru rupees, madam."
Expert," I have to do a dramatic gasp. Then I say, Jaasthi, pronounced JAAS-tee, which means too much."
Host," Right."
Expert," Or to be really emphatic, I can say Thumba Jaasthi."
Host," Right."
Expert," Very much too much."
Host," I shrug. I say, very good quality, madam. Best quality."
Expert," Now, I need to make my counter offer. I need to say, reduce a little. So, a little is Swalpa, reduce is Kami maadi. So, Swalpa Kami maadi. Swalpa is the most important word in that phrase, pronounced SWAL-pah. It softens everything. If you just say Kami maadi, it's a harsh demand. Swalpa Kami maadi is a polite negotiation."
Host," Swalpa Kami maadi."
Expert," I look at the scarf. I look at you. I sigh. Okay. 90. Tombathu."
Host," Tombathu. I'll take it. Done."
Expert," See? You just saved 10 rupees."
Host," Fantastic. Now, before we leave the market, I need to know where things are located relative to me. This locational grammar part. How do I say from the market?"
Expert," Suffix time again. The suffix for from is -inda."
Host," So, it's just market-inda."
Expert," Market-inda. I came from the market."
Host," And inside and outside?"
Expert," We covered inside with the retroflex drill. It's Olagade, remember? OH-luh-guh-dey."
Host," Right. Olagade."
Expert," And outside is Horagade, pronounced HOH-ruh-guh-dey."
Host," So, shop Olagade means inside the shop, and shop Horagade means outside the shop."
Expert," You're building sentences. You're seeing the matrix."
Host," I really am. Okay, we have survived the traffic. We have successfully bought our groceries without getting ripped off. Now, we finally get to relax. We're moving to section four, scenario three, coffee with friends."
Expert," The whole vibe changes here completely. We aren't commanding drivers or negotiating prices anymore. We're connecting. And we have to start with the ultimate Bengaluru icebreaker."
Host," This isn't just a simple how are you, is it?"
Expert," No. How are you is a bit formal. You can say, Heggiddira, it's fine. But the real local way to connect is to ask, Oota aitha?"
Host," Pronounced OO-tah EYE-tah."
Expert," Exactly. Oota means meal, and aitha means did it happen or is it done? So, literally, you're asking, has your meal happened?"
Host," That is so Indian. It's like the fundamental way we show love and care is through food."
Expert," It is. If it's 2:00 in the afternoon, Oota aitha means did you have lunch? If it's 9:00 in the morning, you might ask Tindi aitha, which is did you have breakfast? It's a check-in. It means are you fed? Are you okay?"
Host," So, how do I answer if I ate?"
Expert," If you ate, you just say Aaithu, which means it happened."
Host," Aaithu."
Expert," And if you haven't eaten yet, you say Aagilla. It has not happened."
Host," Aaithu, Aagilla. Simple. Okay, so we're at the cafe. We're drinking filter coffee. We're talking about life. We need to express our feelings. I have a feeling we're back to the experiencer dative again, aren't we?"
Expert," We are. Happiness, sadness, boredom, these are states that happen to you. Let's take happiness. The word is Khushi."
Host," Khushi."
Expert," You don't say I am happy. That's English thinking. You say, to me, happiness has happened. Nanage Khushi aaithu."
Host," Nanage Khushi aaithu. What about if I'm bored? Or just feeling a bit down?"
Expert," The all-purpose word for that is Bejara, pronounced BAY-jah-rah. Nanage Bejara aaithu. To me, boredom or sadness has happened."
Host," Nanage Bejara aaithu. Okay. What about knowledge? I know versus I don't know. This seems huge."
Expert," This is one of the most useful things you can learn. I know is Nanage Gothu, pronounced GOH-too."
